"","силова.подготовка","пол","преди.след","лег"
"1",1,"ж","before",1.44
"2",1,"ж","before",1.96
"3",1,"ж","before",1.32
"4",1,"ж","before",1.63
"5",1,"ж","before",2.12
"6",1,"ж","before",1.86
"7",1,"ж","before",2.02
"8",1,"ж","before",2.38
"9",1,"ж","after",2.85
"10",1,"ж","after",3.08
"11",1,"ж","after",2.6
"12",1,"ж","after",2.95
"13",1,"ж","after",2.91
"14",1,"ж","after",3.11
"15",1,"ж","after",2.92
"16",1,"ж","after",2.88
"17",0,"ж","before",1.84
"18",0,"ж","before",1.84
"19",0,"ж","before",1.63
"20",0,"ж","before",1.65
"21",0,"ж","before",2.15
"22",0,"ж","before",1.88
"23",0,"ж","before",2.29
"24",0,"ж","before",2.07
"25",0,"ж","after",2.18
"26",0,"ж","after",2.31
"27",0,"ж","after",1.92
"28",0,"ж","after",1.94
"29",0,"ж","after",2.65
"30",0,"ж","after",3.06
"31",0,"ж","after",2.58
"32",0,"ж","after",2.55
"33",1,"м","before",5.01
"34",1,"м","before",4.38
"35",1,"м","before",5.15
"36",1,"м","before",4.54
"37",1,"м","before",4.81
"38",1,"м","before",4.87
"39",1,"м","before",5.2
"40",1,"м","before",5.04
"41",1,"м","after",6.2
"42",1,"м","after",5.88
"43",1,"м","after",6.47
"44",1,"м","after",7.18
"45",1,"м","after",6.31
"46",1,"м","after",6.68
"47",1,"м","after",6.88
"48",1,"м","after",6.47
"49",0,"м","before",3.83
"50",0,"м","before",3.91
"51",0,"м","before",4.5
"52",0,"м","before",4.33
"53",0,"м","before",4.69
"54",0,"м","before",4.6
"55",0,"м","before",4.58
"56",0,"м","before",4.97
"57",0,"м","after",5.05
"58",0,"м","after",5.05
"59",0,"м","after",5.9
"60",0,"м","after",5.62
"61",0,"м","after",5.65
"62",0,"м","after",5.25
"63",0,"м","after",5.46
"64",0,"м","after",5.65
