"","силова.подготовка","пол","преди.след","набиране","X"
"1",1,"ж","before",0.21,NA
"2",1,"ж","before",0.42,NA
"3",1,"ж","before",0.31,NA
"4",1,"ж","before",0.45,NA
"5",1,"ж","before",0.13,NA
"6",1,"ж","before",0.46,NA
"7",1,"ж","before",0.28,NA
"8",1,"ж","before",0.01,NA
"9",1,"ж","after",0.52,NA
"10",1,"ж","after",0.69,NA
"11",1,"ж","after",0.84,NA
"12",1,"ж","after",0.84,NA
"13",1,"ж","after",0.49,NA
"14",1,"ж","after",0.8,NA
"15",1,"ж","after",0.65,NA
"16",1,"ж","after",0.37,NA
"17",0,"ж","before",0.01,NA
"18",0,"ж","before",0.16,NA
"19",0,"ж","before",0.31,NA
"20",0,"ж","before",0.31,NA
"21",0,"ж","before",0.13,NA
"22",0,"ж","before",0.3,NA
"23",0,"ж","before",0.14,NA
"24",0,"ж","before",0.01,NA
"25",0,"ж","after",0.18,NA
"26",0,"ж","after",0.32,NA
"27",0,"ж","after",0.47,NA
"28",0,"ж","after",0.47,NA
"29",0,"ж","after",0.26,NA
"30",0,"ж","after",0.44,NA
"31",0,"ж","after",0.41,NA
"32",0,"ж","after",0.13,NA
"33",1,"м","before",0.6,NA
"34",1,"м","before",0.81,NA
"35",1,"м","before",0.76,NA
"36",1,"м","before",0.62,NA
"37",1,"м","before",0.92,NA
"38",1,"м","before",0.86,NA
"39",1,"м","before",0.62,NA
"40",1,"м","before",0.63,NA
"41",1,"м","after",1.68,NA
"42",1,"м","after",1.49,NA
"43",1,"м","after",1.71,NA
"44",1,"м","after",1.71,NA
"45",1,"м","after",1.79,NA
"46",1,"м","after",1.56,NA
"47",1,"м","after",1.48,NA
"48",1,"м","after",1.33,NA
"49",0,"м","before",0.58,NA
"50",0,"м","before",0.59,NA
"51",0,"м","before",0.75,NA
"52",0,"м","before",0.53,NA
"53",0,"м","before",0.48,NA
"54",0,"м","before",0.66,NA
"55",0,"м","before",0.72,NA
"56",0,"м","before",0.62,NA
"57",0,"м","after",1.08,NA
"58",0,"м","after",1.08,NA
"59",0,"м","after",1.37,NA
"60",0,"м","after",1.08,NA
"61",0,"м","after",1.12,NA
"62",0,"м","after",1.06,NA
"63",0,"м","after",1.09,NA
"64",0,"м","after",1,NA
